DATE,Survey,JAR,JAR2,TRT,Blepharisma,Spirostomum,Euplotes_patella,Euplotes_daidaleos1,Lecane,Prorodon,Paramecium_bursaria1
5/5/2015,1,B1R1,1,1,54.811,194.884,3.045,565.96,401.65,0,103.532
5/19/2015,2,B1R1,1,1,12.92,67.829,3.23,232.558,12.92,0,54.91
6/4/2015,3,B1R1,1,1,0,9.585,6.39,99.042,3.19,0,25.559
6/10/2015,4,B1R1,1,1,23.248,36.533,3.321,149.452,53.14,0,39.854
6/25/2015,5,B1R1,1,1,3.304,6.607,0,56.161,3.3,0,19.822
6/30/2015,6,B1R1,1,1,16.393,16.393,0,121.311,36.07,0,6.557
7/7/2015,7,B1R1,1,1,47.664,63.553,0,174.77,95.33,0,47.664
7/14/2015,8,B1R1,1,1,28.02,6.227,0,12.453,0,3.1133,21.793
7/20/2015,9,B1R1,1,1,81.098,28.072,0,115.409,9.36,0,40.549
5/5/2015,1,B1R2,2,1,78.271,182.631,7.454,387.626,59.63,0,190.086
5/19/2015,2,B1R2,2,1,26.569,23.248,9.963,159.415,23.25,0,99.635
6/4/2015,3,B1R2,2,1,0,9.39,0,68.858,12.52,0,37.559
6/10/2015,4,B1R2,2,1,9.214,52.211,9.214,147.42,49.14,0,76.781
6/25/2015,5,B1R2,2,1,12.987,25.974,3.2468,77.922,12.99,0,55.195
6/30/2015,6,B1R2,2,1,72.013,26.187,0,121.113,58.92,0,36.007
7/7/2015,7,B1R2,2,1,98.361,39.344,0,173.77,154.1,0,137.705
7/14/2015,8,B1R2,2,1,37.232,6.205,0,34.13,9.31,0,40.335
7/20/2015,9,B1R2,2,1,155.895,9.743,0,71.452,110.43,0,71.452
5/5/2015,1,B1R3,3,1,16.739,224.305,23.435,509.731,345.89,0,164.044
5/19/2015,2,B1R3,3,1,17.319,48.493,3.464,193.973,24.25,0,69.276
6/4/2015,3,B1R3,3,1,3.179,25.429,3.179,143.039,9.54,0,25.429
6/10/2015,4,B1R3,3,1,6.784,50.882,10.176,298.507,78.02,0,64.45
6/25/2015,5,B1R3,3,1,3.202,12.808,0,121.678,3.2,0,25.616
6/30/2015,6,B1R3,3,1,16.545,39.709,0,188.617,29.78,0,16.545
7/7/2015,7,B1R3,3,1,75,62.5,0,393.75,28.13,0,65.625
7/14/2015,8,B1R3,3,1,9.927,3.309,0,72.799,0,0,23.163
7/20/2015,9,B1R3,3,1,25.237,25.237,0,182.965,41.01,0,41.009
5/5/2015,1,B1R4,4,1,21.038,178.822,0,480.582,605.95,0,126.227
5/19/2015,2,B1R4,4,1,3.121,46.816,6.242,209.114,12.48,3.1211,90.512
6/4/2015,3,B1R4,4,1,2.916,5.833,0,148.731,8.75,0,11.665
6/10/2015,4,B1R4,4,1,9.372,37.488,6.248,249.922,31.24,3.124,46.86
6/25/2015,5,B1R4,4,1,12.727,6.363,0,95.45,0,0,12.727
6/30/2015,6,B1R4,4,1,18.975,9.488,3.1626,189.753,9.49,0,44.276
7/7/2015,7,B1R4,4,1,50.617,22.145,0,303.701,50.62,0,56.944
7/14/2015,8,B1R4,4,1,12.61,0,0,53.594,3.15,0,28.373
7/20/2015,9,B1R4,4,1,12.11,27.248,0,133.212,3.03,0,39.358
5/5/2015,1,B1R5,5,1,17.544,154.386,0,291.228,614.04,3.5088,280.702
5/19/2015,2,B1R5,5,1,50.125,42.965,7.161,196.921,7.16,10.7411,204.082
6/4/2015,3,B1R5,5,1,6.479,3.239,3.239,152.251,6.48,0,68.027
6/10/2015,4,B1R5,5,1,28.674,21.505,0,315.412,57.35,0,197.133
6/25/2015,5,B1R5,5,1,30.13,0,0,21.091,48.21,0,114.492
6/30/2015,6,B1R5,5,1,51.151,12.788,0,22.379,166.24,0,150.256
7/7/2015,7,B1R5,5,1,113.636,2.914,0,17.483,378.79,0,209.79
7/14/2015,8,B1R5,5,1,29.351,0,0,5.87,73.38,0,114.47
7/20/2015,9,B1R5,5,1,40.816,0,0,6.279,222.92,0,128.728
5/5/2015,1,B2R1,6,2,10.49,101.399,160.839,17.483,90.91,6.993,199.301
5/19/2015,2,B2R1,6,2,13.971,24.45,34.928,31.436,27.94,3.4928,150.192
6/4/2015,3,B2R1,6,2,2.982,5.963,11.926,26.834,0,0,17.889
6/10/2015,4,B2R1,6,2,9.282,40.223,30.941,99.01,9.28,0,37.129
6/25/2015,5,B2R1,6,2,3.202,16.01,16.0102,80.051,35.22,0,22.414
6/30/2015,6,B2R1,6,2,6.47,38.822,3.2352,87.35,74.41,0,22.646
7/7/2015,7,B2R1,6,2,6.254,37.523,12.5078,184.49,96.94,0,34.396
7/14/2015,8,B2R1,6,2,3.123,9.369,3.123,59.338,6.25,0,12.492
7/20/2015,9,B2R1,6,2,36.042,13.106,3.2765,104.849,52.42,0,42.595
5/5/2015,1,B2R2,7,2,31.825,45.969,10.608,10.608,1528.18,0,134.371
5/19/2015,2,B2R2,7,2,76.008,72.703,19.828,9.914,403.17,0,158.625
6/4/2015,3,B2R2,7,2,28.745,9.582,0,31.939,57.49,3.1939,47.908
6/10/2015,4,B2R2,7,2,86.8,41.904,2.993,83.807,308.29,0,134.69
6/25/2015,5,B2R2,7,2,72.282,21.999,0,15.713,141.42,0,62.854
6/30/2015,6,B2R2,7,2,103.862,71.405,0,64.914,558.26,0,123.337
7/7/2015,7,B2R2,7,2,238.469,138.061,0,97.27,1875.22,0,229.056
7/14/2015,8,B2R2,7,2,44.843,19.218,0,28.828,118.51,0,57.655
7/20/2015,9,B2R2,7,2,95.178,44.416,0,22.208,409.26,0,104.695
5/5/2015,1,B2R3,8,2,13.532,47.361,30.447,10.149,236.81,6.7659,162.382
5/19/2015,2,B2R3,8,2,32.808,22.966,32.808,36.089,9.84,0,206.693
6/4/2015,3,B2R3,8,2,5.698,0,8.547,11.396,0,0,54.131
6/10/2015,4,B2R3,8,2,50.939,9.551,6.367,92.327,38.2,3.1837,152.818
6/25/2015,5,B2R3,8,2,9.901,0,3.3003,36.304,16.5,0,102.31
6/30/2015,6,B2R3,8,2,9.709,0,0,55.016,29.13,0,161.812
7/7/2015,7,B2R3,8,2,32.113,0,0,51.381,54.59,0,115.607
7/14/2015,8,B2R3,8,2,0,0,0,12.034,9.03,0,60.168
7/20/2015,9,B2R3,8,2,37.062,0,0,10.108,104.45,0,67.385
5/5/2015,1,B2R4,9,2,20.074,244.229,66.912,16.728,197.39,0,140.515
5/19/2015,2,B2R4,9,2,29.922,32.914,131.658,47.876,8.98,11.9689,131.658
6/4/2015,3,B2R4,9,2,9.225,0,3.075,15.375,6.15,0,12.3
6/10/2015,4,B2R4,9,2,28.055,46.758,15.586,71.696,74.81,0,65.461
6/25/2015,5,B2R4,9,2,9.094,15.156,0,27.281,3.03,0,9.094
6/30/2015,6,B2R4,9,2,24.116,13.398,5.3591,83.065,8.04,0,29.475
7/7/2015,7,B2R4,9,2,31.576,34.733,0,91.569,9.47,0,56.836
7/14/2015,8,B2R4,9,2,3.188,0,0,35.065,0,0,19.127
7/20/2015,9,B2R4,9,2,16.25,22.749,0,81.248,9.75,0,55.249
5/5/2015,1,B2R5,10,2,25.932,207.455,71.313,3.241,265.8,0,175.041
5/19/2015,2,B2R5,10,2,23.506,30.222,53.727,10.074,16.79,3.358,174.614
6/4/2015,3,B2R5,10,2,5.99,0,8.985,26.954,2.99,0,50.913
6/10/2015,4,B2R5,10,2,23.095,25.982,11.547,75.058,54.85,0,89.492
6/25/2015,5,B2R5,10,2,18.826,6.275,3.1377,53.342,3.14,0,28.24
6/30/2015,6,B2R5,10,2,30.893,61.786,6.1786,49.428,18.54,0,52.518
7/7/2015,7,B2R5,10,2,69.888,51.656,0,142.814,27.35,3.0386,57.733
7/14/2015,8,B2R5,10,2,5.764,5.764,0,25.937,5.76,0,23.055
7/20/2015,9,B2R5,10,2,18.078,30.13,0,39.168,3.01,0,81.35
5/5/2015,1,B3R1,11,3,14.22,156.417,78.208,3.555,216.85,3.5549,191.966
5/19/2015,2,B3R1,11,3,48.892,52.151,45.632,3.259,22.82,3.2595,94.524
6/4/2015,3,B3R1,11,3,46.634,2.915,26.231,17.488,8.74,0,29.146
6/10/2015,4,B3R1,11,3,132.301,22.588,33.234,13.293,29.91,6.6467,186.108
6/25/2015,5,B3R1,11,3,125.995,13.263,6.6313,16.578,3.32,0,112.732
6/30/2015,6,B3R1,11,3,255.634,20.182,3.3636,16.818,16.82,0,144.635
7/7/2015,7,B3R1,11,3,227.346,70.445,0,6.404,38.42,3.202,124.88
7/14/2015,8,B3R1,11,3,43.378,5.784,0,8.676,0,0,34.702
7/20/2015,9,B3R1,11,3,131.25,12.5,3.125,9.375,12.5,0,46.875
5/5/2015,1,B3R2,12,3,44.218,132.653,251.701,0,357.14,3.4014,74.83
5/19/2015,2,B3R2,12,3,75.993,17.271,107.081,0,34.54,6.9085,134.715
6/4/2015,3,B3R2,12,3,38.992,5.999,119.976,2.999,6,0,77.984
6/10/2015,4,B3R2,12,3,147.012,44.743,86.29,6.392,35.16,3.1959,92.681
6/25/2015,5,B3R2,12,3,106.316,3.127,6.2539,3.127,6.25,0,43.777
6/30/2015,6,B3R2,12,3,156.094,0,6.6423,3.321,13.28,0,96.314
7/7/2015,7,B3R2,12,3,166.965,11.926,2.9815,0,41.74,14.9076,89.445
7/14/2015,8,B3R2,12,3,19.38,0,0,3.23,0,0,19.38
7/20/2015,9,B3R2,12,3,87.2,21.8,3.1143,9.343,9.34,6.2286,90.315
