DATE,Survey,JAR,JAR2,TRT,Stentor,Paramecium_caudatum,Monostyla,Euplotes_daidaleos2,Paramecium_bursaria2,,,
5/5/2015,1,S1R1,26,6,17.762,95.915,234.458,46.198,17.768,,,
5/19/2015,2,S1R1,26,6,3.3546,53.673,100.637,26.837,26.837,,,
6/4/2015,3,S1R1,26,6,15.2718,140.501,85.522,24.435,3.054,,,
6/10/2015,4,S1R1,26,6,5.9172,118.343,112.426,17.751,11.834,,,
6/25/2015,5,S1R1,26,6,0,99.163,52.681,9.297,21.692,,,
6/30/2015,6,S1R1,26,6,3.0377,100.243,94.168,15.188,15.188,,, 
7/7/2015,7,S1R1,26,6,3.33,96.57,203.13,43.29,39.96,,,
7/14/2015,8,S1R1,26,6,0,69.17,32.938,6.588,3.294,,,
7/20/2015,9,S1R1,26,6,3.0497,79.292,109.79,12.199,9.149,,,
5/5/2015,1,S1R2,27,6,20.4012,61.204,248.215,37.402,13.601,,,
5/19/2015,2,S1R2,27,6,0,107.999,70.874,13.5,10.125,,,
6/4/2015,3,S1R2,27,6,3.0544,161.881,45.816,12.217,0,,,
6/10/2015,4,S1R2,27,6,6.3032,230.066,78.79,56.729,0,,,
6/25/2015,5,S1R2,27,6,0,112.045,38.515,17.507,0,,,
6/30/2015,6,S1R2,27,6,0,122.06,80.381,14.885,2.977,,,
7/7/2015,7,S1R2,27,6,15.7431,47.229,141.688,25.189,6.297,,,
7/14/2015,8,S1R2,27,6,3.269,65.381,45.767,6.538,3.269,,,
7/20/2015,9,S1R2,27,6,3.2595,130.378,101.043,16.297,16.297,,,
5/5/2015,1,S1R3,28,6,23.6726,94.691,246.872,50.727,13.527,,,
5/19/2015,2,S1R3,28,6,6.9857,143.206,164.163,38.421,24.45,,,
6/4/2015,3,S1R3,28,6,0,175.268,64.914,16.228,12.983,,,
6/10/2015,4,S1R3,28,6,0,136.63,110.605,39.037,26.025,,,
6/25/2015,5,S1R3,28,6,0,119.819,51.813,3.238,6.477,,,
6/30/2015,6,S1R3,28,6,0,174.87,93.912,9.715,6.477,,,
7/7/2015,7,S1R3,28,6,6.6845,150.401,190.508,53.476,20.053,,,
7/14/2015,8,S1R3,28,6,0,77.876,14.159,17.699,14.159,,,
7/20/2015,9,S1R3,28,6,0,93.779,96.905,9.378,12.504,,,
5/5/2015,1,S1R4,29,6,30.2826,23.553,57.201,16.824,0,,,
5/19/2015,2,S1R4,29,6,3.399,132.563,67.981,16.995,23.793,,,
6/4/2015,3,S1R4,29,6,3.0202,256.72,42.283,18.121,9.061,,,
6/10/2015,4,S1R4,29,6,6.1633,224.961,83.205,92.45,12.327,,,
6/25/2015,5,S1R4,29,6,0,103.806,22.02,18.874,3.146,,,
6/30/2015,6,S1R4,29,6,0,107.849,38.945,65.908,2.996,,,
7/7/2015,7,S1R4,29,6,0,80.334,147.815,102.828,3.213,,,
7/14/2015,8,S1R4,29,6,0,145.015,9.063,6.042,3.021,,,
7/20/2015,9,S1R4,29,6,0,192.926,45.016,35.37,6.431,,,
5/5/2015,1,S1R5,30,6,17.343,41.623,79.778,10.406,3.469,,,
5/19/2015,2,S1R5,30,6,3.3967,81.522,74.728,23.777,20.38,,,
6/4/2015,3,S1R5,30,6,0,136.49,25.07,30.641,5.571,,,
6/10/2015,4,S1R5,30,6,0,222.222,61.192,77.295,12.882,,,
6/25/2015,5,S1R5,30,6,0,169.545,21.978,34.537,0,,,
6/30/2015,6,S1R5,30,6,0,105.029,60.471,28.644,0,,,
7/7/2015,7,S1R5,30,6,0,128.67,92.379,98.977,3.299,,,
7/14/2015,8,S1R5,30,6,0,93.194,19.768,8.472,5.648,,,
7/20/2015,9,S1R5,30,6,0,136.688,59.025,9.32,6.213,,,
5/5/2015,1,S2R1,31,7,6.7385,47.17,168.464,57.278,30.323,,,
5/19/2015,2,S2R1,31,7,3.3478,97.087,254.436,13.391,53.565,,,
6/4/2015,3,S2R1,31,7,0,58.806,111.732,5.881,11.761,,,
6/10/2015,4,S2R1,31,7,0,96.277,356.226,16.046,64.185,,,
6/25/2015,5,S2R1,31,7,0,95.663,86.097,6.378,25.51,,,
6/30/2015,6,S2R1,31,7,3.0525,48.84,283.883,0,51.893,,,
7/7/2015,7,S2R1,31,7,0,29.306,589.385,3.256,68.382,,,
7/14/2015,8,S2R1,31,7,0,94.887,52.715,0,23.722,,,
7/20/2015,9,S2R1,31,7,0,104.874,188.155,3.085,55.521,,,
5/5/2015,1,S2R2,32,7,6.8634,51.476,137.268,65.202,20.59,,,
5/19/2015,2,S2R2,32,7,0,163.506,88.293,29.431,55.592,,,
6/4/2015,3,S2R2,32,7,2.8233,64.935,132.693,22.586,14.116,,,
6/10/2015,4,S2R2,32,7,0,95.724,258.456,70.198,44.671,,,
6/25/2015,5,S2R2,32,7,0,144.978,100.104,17.259,27.615,,,
6/30/2015,6,S2R2,32,7,0,153.945,153.945,12.829,44.901,,,
7/7/2015,7,S2R2,32,7,3.046,170.576,185.806,60.92,91.38,,,
7/14/2015,8,S2R2,32,7,0,128.716,33.711,9.194,24.517,,,
7/20/2015,9,S2R2,32,7,0,185.241,100.213,51.625,33.404,,,
5/5/2015,1,S2R3,33,7,6.4767,80.959,194.301,9.715,42.098,,,
5/19/2015,2,S2R3,33,7,3.4294,82.305,346.365,13.717,85.734,,,
6/4/2015,3,S2R3,33,7,0,81.448,196.078,9.05,24.133,,,
6/10/2015,4,S2R3,33,7,3.1616,198.092,474.233,28.454,56.908,,,
6/25/2015,5,S2R3,33,7,0,79.973,179.94,6.664,36.654,,,
6/30/2015,6,S2R3,33,7,0,110.894,290.28,22.831,55.447,,,
7/7/2015,7,S2R3,33,7,0,109.066,432.856,44.308,119.291,,,
7/14/2015,8,S2R3,33,7,0,127.796,72.611,2.904,17.427,,,
7/20/2015,9,S2R3,33,7,0,186.017,205.26,32.072,35.279,,,
5/5/2015,1,S2R4,34,7,0,208.551,114.703,52.138,10.428,,,
5/19/2015,2,S2R4,34,7,3.3234,116.318,139.581,23.264,76.437,,,
6/4/2015,3,S2R4,34,7,0,63.823,80.618,20.155,26.873,,,
6/10/2015,4,S2R4,34,7,0,130.233,223.256,21.705,65.116,,,
6/25/2015,5,S2R4,34,7,0,97.392,135.093,15.708,31.417,,,
6/30/2015,6,S2R4,34,7,0,94.044,269.592,18.809,47.022,,,
7/7/2015,7,S2R4,34,7,0,120.695,465.116,38.269,141.301,,,
7/14/2015,8,S2R4,34,7,0,108.527,105.426,6.015,15.038,,,
7/20/2015,9,S2R4,34,7,0,193.452,125,29.762,38.69,,,
5/5/2015,1,S2R5,35,7,0,165.26,101.969,38.678,70.323,,,
5/19/2015,2,S2R5,35,7,3.3557,157.718,100.671,30.201,83.893,,,
6/4/2015,3,S2R5,35,7,0,137.39,65.424,6.542,35.983,,,
6/10/2015,4,S2R5,35,7,0,126.944,187.242,41.257,92.034,,,
6/25/2015,5,S2R5,35,7,0,101.382,86.022,9.217,27.65,,,
6/30/2015,6,S2R5,35,7,0,148.734,148.734,25.316,56.962,,,
7/7/2015,7,S2R5,35,7,0,165.027,314.186,38.083,139.638,,,
7/14/2015,8,S2R5,35,7,0,135.67,59.356,2.826,19.785,,,
7/20/2015,9,S2R5,35,7,6.3918,150.208,143.816,9.588,19.175,,,
5/5/2015,1,S3R1,36,8,13.5272,87.927,267.163,77.782,47.345,,,
5/19/2015,2,S3R1,36,8,3.5411,152.266,216.006,38.952,70.822,,,
6/4/2015,3,S3R1,36,8,0,36.679,120.04,13.338,90.03,,,
